"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MX61";"MXOnly-7U-ReversedStabilizers-NoLED";1;"SPACE_7flipped";;;
2;"MX48";"MXOnly-1U-NoLED";1;"C";;;
3;"MX62";"MXOnly-1.5U-NoLED";1;"RWIN_1.5";;;
4;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
5;"JP1";"PinSocket_1x02_P2.54mm_Vertical";1;"RESET";;;
6;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"ICSP";;;
7;"C7,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22p";;;
8;"D4,D65,D58,D44,D30,D64,D57,D29,D15,D63,D56,D43,D28,D14,D42,D27,D13,D62,D55,D41,D26,D12,D54,D40,D25,D11,D53,D39,D24,D10,D52,D38,D23,D9,D61,D51,D37,D22,D8,D50,D36,D21,D7,D49,D35,D20,D6,D48,D34,D19,D5,D60,D47,D33,D18,D46,D32,D17,D3,D45,D2,D59,D31,D16,D1";"D_SOD-123";65;"1N4148W";;;
9;"MX53";"MXOnly-1U-NoLED";1;"LANGLE";;;
10;"R2,R3";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"22";;;
11;"J1";"USB_Micro-B_GCT_USB3076-30-A";1;"USB_B_Micro";;;
12;"Y1";"Crystal_SMD_5032-4Pin_5.0x3.2mm";1;"16MHz";;;
13;"MX5";"MXOnly-1U-NoLED";1;"4";;;
14;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-AU";;;
15;"R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1k";;;
16;"R4";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"10k";;;
17;"R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"330";;;
18;"MX65";"MXOnly-1U-NoLED";1;"ARR_RT";;;
19;"MX58";"MXOnly-1U-NoLED";1;"INS";;;
20;"MX44";"MXOnly-1U-NoLED";1;"PGDN";;;
21;"MX30";"MXOnly-1U-NoLED";1;"PGUP";;;
22;"MX64";"MXOnly-1U-NoLED";1;"ARR_DN";;;
23;"MX57";"MXOnly-1U-NoLED";1;"ARR_UP";;;
24;"MX29";"MXOnly-1.5U-NoLED";1;"BSPACE_1.5";;;
25;"MX15";"MXOnly-1U-NoLED";1;"GRAVE";;;
26;"MX63";"MXOnly-1U-NoLED";1;"ARR_LT";;;
27;"MX56";"MXOnly-1.75U-NoLED";1;"RSHIFT_1.75";;;
28;"MX43";"MXOnly-2.25U-NoLED";1;"ENTER_2.25";;;
29;"MX28";"MXOnly-1U-NoLED";1;"RBRACE";;;
30;"MX14";"MXOnly-1U-NoLED";1;"BSLASH";;;
31;"MX42";"MXOnly-1U-NoLED";1;"QUOTE";;;
32;"MX27";"MXOnly-1U-NoLED";1;"LBRACE";;;
33;"MX13";"MXOnly-1U-NoLED";1;"PLUS";;;
34;"MX55";"MXOnly-1U-NoLED";1;"SLASH";;;
35;"MX41";"MXOnly-1U-NoLED";1;"COLON";;;
36;"MX26";"MXOnly-1U-NoLED";1;"P";;;
37;"MX12";"MXOnly-1U-NoLED";1;"MINUS";;;
38;"MX54";"MXOnly-1U-NoLED";1;"RANGLE";;;
39;"MX40";"MXOnly-1U-NoLED";1;"L";;;
40;"MX25";"MXOnly-1U-NoLED";1;"O";;;
41;"MX11";"MXOnly-1U-NoLED";1;"0";;;
42;"MX39";"MXOnly-1U-NoLED";1;"K";;;
43;"MX24";"MXOnly-1U-NoLED";1;"I";;;
44;"MX10";"MXOnly-1U-NoLED";1;"9";;;
45;"MX52";"MXOnly-1U-NoLED";1;"M";;;
46;"MX38";"MXOnly-1U-NoLED";1;"J";;;
47;"MX23";"MXOnly-1U-NoLED";1;"U";;;
48;"MX9";"MXOnly-1U-NoLED";1;"8";;;
49;"MX51";"MXOnly-1U-NoLED";1;"N";;;
50;"MX37";"MXOnly-1U-NoLED";1;"H";;;
51;"MX22";"MXOnly-1U-NoLED";1;"Y";;;
52;"MX8";"MXOnly-1U-NoLED";1;"7";;;
53;"MX50";"MXOnly-1U-NoLED";1;"B";;;
54;"MX36";"MXOnly-1U-NoLED";1;"G";;;
55;"MX21";"MXOnly-1U-NoLED";1;"T";;;
56;"MX7";"MXOnly-1U-NoLED";1;"6";;;
57;"MX49";"MXOnly-1U-NoLED";1;"V";;;
58;"MX35";"MXOnly-1U-NoLED";1;"F";;;
59;"MX20";"MXOnly-1U-NoLED";1;"R";;;
60;"MX6";"MXOnly-1U-NoLED";1;"5";;;
61;"MX34";"MXOnly-1U-NoLED";1;"D";;;
62;"MX19";"MXOnly-1U-NoLED";1;"E";;;
63;"MX60";"MXOnly-1.5U-NoLED";1;"LWIN_1.5";;;
64;"MX47";"MXOnly-1U-NoLED";1;"X";;;
65;"MX33";"MXOnly-1U-NoLED";1;"S";;;
66;"MX18";"MXOnly-1U-NoLED";1;"W";;;
67;"MX4";"MXOnly-1U-NoLED";1;"3";;;
68;"MX46";"MXOnly-1U-NoLED";1;"Z";;;
69;"MX32";"MXOnly-1U-NoLED";1;"A";;;
70;"MX17";"MXOnly-1U-NoLED";1;"Q";;;
71;"MX3";"MXOnly-1U-NoLED";1;"2";;;
72;"MX45";"MXOnly-2.25U-NoLED";1;"LSHIFT_2.25";;;
73;"MX2";"MXOnly-1U-NoLED";1;"1";;;
74;"MX59";"MXOnly-1.5U-NoLED";1;"LALT_1.5";;;
75;"MX31";"MXOnly-1.75U-NoLED";1;"LCTRL_1.75";;;
76;"MX16";"MXOnly-1.5U-NoLED";1;"TAB_1.5";;;
77;"MX1";"MXOnly-1U-NoLED";1;"ESC";;;
78;"C5,C4,C3,C2,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"100n";;;
79;"C1,C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1u";;;
